t_s,Voltaje
142.4849699,20.24849699
142.8456914,20.28456914
143.2064128,20.32064128
143.5671343,20.35671343
143.9278557,20.39278557
144.2885772,20.42885772
144.6492986,20.46492986
145.01002,20.501002
145.3707415,20.53707415
145.7314629,20.57314629
146.0921844,20.60921844
146.4529058,20.64529058
146.8136273,20.68136273
147.1743487,20.71743487
147.5350701,20.75350701
147.8957916,20.78957916
148.256513,20.8256513
148.6172345,20.86172345
148.9779559,20.89779559
149.3386774,20.93386774
149.6993988,20.96993988
150.0601202,21.00601202
150.4208417,21.04208417
150.7815631,21.07815631
151.1422846,21.11422846
151.503006,21.1503006
151.8637275,21.18637275
152.2244489,21.22244489
152.5851703,21.25851703
152.9458918,21.29458918
153.3066132,21.33066132
153.6673347,21.36673347
154.0280561,21.40280561
154.3887776,21.43887776
154.749499,21.4749499
155.1102204,21.51102204
155.4709419,21.54709419
155.8316633,21.58316633
156.1923848,21.61923848
156.5531062,21.65531062
156.9138277,21.69138277
157.2745491,21.72745491
157.6352705,21.76352705
157.995992,21.7995992
158.3567134,21.83567134
158.7174349,21.87174349
159.0781563,21.90781563
159.4388778,21.94388778
159.7995992,21.97995992
160.1603206,22.01603206
160.5210421,22.05210421
160.8817635,22.08817635
161.242485,22.1242485
161.6032064,22.16032064
161.9639279,22.19639279
162.3246493,22.23246493
162.6853707,22.26853707
163.0460922,22.30460922
163.4068136,22.34068136
163.7675351,22.37675351
164.1282565,22.41282565
164.488978,22.4488978
164.8496994,22.48496994
165.2104208,22.52104208
165.5711423,22.55711423
165.9318637,22.59318637
166.2925852,22.62925852
166.6533066,22.66533066
167.0140281,22.70140281
167.3747495,22.73747495
167.7354709,22.77354709
168.0961924,22.80961924
168.4569138,22.84569138
168.8176353,22.88176353
169.1783567,22.91783567
169.5390782,22.95390782
169.8997996,22.98997996
170.260521,23.0260521
170.6212425,23.06212425
170.9819639,23.09819639
171.3426854,23.13426854
171.7034068,23.17034068
172.0641283,23.20641283
172.4248497,23.24248497
172.7855711,23.27855711
173.1462926,23.31462926
173.507014,23.3507014
173.8677355,23.38677355
174.2284569,23.42284569
174.5891784,23.45891784
174.9498998,23.49498998
175.3106212,23.53106212
175.6713427,23.56713427
176.0320641,23.60320641
176.3927856,23.63927856
176.753507,23.6753507
177.1142285,23.71142285
177.4749499,23.74749499
177.8356713,23.78356713
178.1963928,23.81963928
178.5571142,23.85571142
178.9178357,23.89178357
179.2785571,23.92785571
179.6392786,23.96392786
180,24
