t_s,Rpm
37.51503006,1469.485082
37.8757515,1474.920909
38.23647295,1480.356735
38.59719439,1485.792562
38.95791583,1491.228388
39.31863727,1496.664215
39.67935872,1502.100041
40.04008016,1507.535867
40.4008016,1512.971694
40.76152305,1518.40752
41.12224449,1523.843347
41.48296593,1529.279173
41.84368737,1534.715
42.20440882,1540.150826
42.56513026,1545.586653
42.9258517,1551.022479
43.28657315,1556.458305
43.64729459,1561.894132
44.00801603,1567.329958
44.36873747,1572.765785
44.72945892,1578.201611
45.09018036,1583.637438
45.4509018,1589.073264
45.81162325,1594.509091
46.17234469,1599.944917
46.53306613,1605.380743
46.89378758,1610.81657
47.25450902,1616.252396
47.61523046,1621.688223
47.9759519,1627.124049
48.33667335,1632.559876
48.69739479,1637.995702
49.05811623,1643.431529
49.41883768,1648.867355
49.77955912,1654.303181
50.14028056,1659.739008
50.501002,1665.174834
50.86172345,1670.610661
51.22244489,1676.046487
51.58316633,1681.482314
51.94388778,1686.91814
52.30460922,1692.353967
52.66533066,1697.789793
53.0260521,1703.225619
53.38677355,1708.661446
53.74749499,1714.097272
54.10821643,1719.533099
54.46893788,1724.968925
54.82965932,1730.404752
55.19038076,1735.840578
55.5511022,1741.276405
55.91182365,1746.712231
56.27254509,1752.148057
56.63326653,1757.583884
56.99398798,1763.01971
57.35470942,1768.455537
57.71543086,1773.891363
58.0761523,1779.32719
58.43687375,1784.763016
58.79759519,1790.198843
59.15831663,1795.634669
59.51903808,1801.070495
59.87975952,1806.506322
60.24048096,1811.942148
60.6012024,1817.377975
60.96192385,1822.813801
61.32264529,1828.249628
61.68336673,1833.685454
62.04408818,1839.121281
62.40480962,1844.557107
62.76553106,1849.992933
63.12625251,1855.42876
63.48697395,1860.864586
63.84769539,1866.300413
64.20841683,1871.736239
64.56913828,1877.172066
64.92985972,1882.607892
65.29058116,1888.043719
65.65130261,1893.479545
66.01202405,1898.915371
66.37274549,1904.351198
66.73346693,1909.787024
67.09418838,1915.222851
67.45490982,1920.658677
67.81563126,1926.094504
68.17635271,1931.53033
68.53707415,1936.966157
68.89779559,1942.401983
69.25851703,1947.837809
69.61923848,1953.273636
69.97995992,1958.709462
70.34068136,1964.145289
70.70140281,1969.581115
71.06212425,1975.016942
71.42284569,1980.452768
71.78356713,1985.888595
72.14428858,1991.324421
72.50501002,1996.760247
72.86573146,2002.196074
73.22645291,2007.6319
73.58717435,2013.067727
73.94789579,2018.503553
74.30861723,2023.93938
74.66933868,2029.375206
75.03006012,2034.811033
75.39078156,2040.246859
75.75150301,2045.682685
76.11222445,2051.118512
76.47294589,2056.554338
76.83366733,2061.990165
77.19438878,2067.425991
77.55511022,2072.861818
77.91583166,2078.297644
78.27655311,2083.733471
78.63727455,2089.169297
78.99799599,2094.605123
79.35871743,2100.04095
79.71943888,2105.476776
80.08016032,2110.912603
80.44088176,2116.348429
80.80160321,2121.784256
81.16232465,2127.220082
81.52304609,2132.655909
81.88376754,2138.091735
82.24448898,2143.527561
82.60521042,2148.963388
82.96593186,2154.399214
83.32665331,2159.835041
83.68737475,2165.270867
84.04809619,2170.706694
84.40881764,2176.14252
84.76953908,2181.578347
85.13026052,2187.014173
85.49098196,2192.449999
85.85170341,2197.885826
86.21242485,2203.321652
86.57314629,2208.757479
86.93386774,2214.193305
87.29458918,2219.629132
87.65531062,2225.064958
88.01603206,2230.500785
88.37675351,2235.936611
88.73747495,2241.372437
89.09819639,2246.808264
89.45891784,2252.24409
89.81963928,2257.679917
90.18036072,2263.115743
90.54108216,2268.55157
90.90180361,2273.987396
91.26252505,2279.423223
91.62324649,2284.859049
91.98396794,2290.294875
92.34468938,2295.730702
92.70541082,2301.166528
93.06613226,2306.602355
93.42685371,2312.038181
93.78757515,2317.474008
94.14829659,2322.909834
94.50901804,2328.345661
94.86973948,2333.781487
95.23046092,2339.217313
95.59118236,2344.65314
95.95190381,2350.088966
96.31262525,2355.524793
96.67334669,2360.960619
97.03406814,2366.396446
97.39478958,2371.832272
97.75551102,2377.268099
98.11623246,2382.703925
98.47695391,2388.139751
98.83767535,2393.575578
99.19839679,2399.011404
99.55911824,2404.447231
99.91983968,2409.883057
100.2805611,2415.318884
100.6412826,2420.75471
101.002004,2426.190537
101.3627255,2431.626363
101.7234469,2437.062189
102.0841683,2442.498016
102.4448898,2447.933842
102.8056112,2453.369669
103.1663327,2458.805495
103.5270541,2464.241322
103.8877756,2469.677148
104.248497,2475.112975
104.6092184,2480.548801
104.9699399,2485.984627
105.3306613,2491.420454
105.6913828,2496.85628
106.0521042,2502.292107
106.4128257,2507.727933
106.7735471,2513.16376
107.1342685,2518.599586
107.49499,2524.035413
107.8557114,2529.471239
108.2164329,2534.907065
108.5771543,2540.342892
108.9378758,2545.778718
109.2985972,2551.214545
109.6593186,2556.650371
110.0200401,2562.086198
110.3807615,2567.522024
110.741483,2572.957851
111.1022044,2578.393677
111.4629259,2583.829503
111.8236473,2589.26533
112.1843687,2594.701156
112.5450902,2600.136983
112.9058116,2605.572809
113.2665331,2611.008636
113.6272545,2616.444462
113.987976,2621.880289
114.3486974,2627.316115
114.7094188,2632.751941
115.0701403,2638.187768
115.4308617,2643.623594
115.7915832,2649.059421
116.1523046,2654.495247
116.5130261,2659.931074
116.8737475,2665.3669
117.2344689,2670.802727
117.5951904,2676.238553
117.9559118,2681.67438
118.3166333,2687.110206
118.6773547,2692.546032
119.0380762,2697.981859
119.3987976,2703.417685
119.759519,2708.853512
120.1202405,2714.289338
120.4809619,2719.725165
120.8416834,2725.160991
121.2024048,2730.596818
121.5631263,2736.032644
121.9238477,2741.46847
122.2845691,2746.904297
122.6452906,2752.340123
123.006012,2757.77595
123.3667335,2763.211776
123.7274549,2768.647603
124.0881764,2774.083429
124.4488978,2779.519256
124.8096192,2784.955082
125.1703407,2790.390908
125.5310621,2795.826735
125.8917836,2801.262561
126.252505,2806.698388
126.6132265,2812.134214
126.9739479,2817.570041
127.3346693,2823.005867
127.6953908,2828.441694
128.0561122,2833.87752
128.4168337,2839.313346
128.7775551,2844.749173
129.1382766,2850.184999
129.498998,2855.620826
129.8597194,2861.056652
130.2204409,2866.492479
130.5811623,2871.928305
130.9418838,2877.364132
131.3026052,2882.799958
131.6633267,2888.235784
132.0240481,2893.671611
132.3847695,2899.107437
132.745491,2904.543264
133.1062124,2909.97909
133.4669339,2915.414917
133.8276553,2920.850743
134.1883768,2926.28657
134.5490982,2931.722396
134.9098196,2937.158222
135.2705411,2942.594049
135.6312625,2948.029875
135.991984,2953.465702
136.3527054,2958.901528
136.7134269,2964.337355
137.0741483,2969.773181
137.4348697,2975.209008
137.7955912,2980.644834
138.1563126,2986.08066
138.5170341,2991.516487
138.8777555,2996.952313
139.238477,3002.38814
139.5991984,3007.823966
139.9599198,3013.259793
140.3206413,3018.695619
140.6813627,3024.131446
141.0420842,3029.567272
141.4028056,3035.003098
141.7635271,3040.438925
142.1242485,3045.874751
142.4849699,3051.310578
142.8456914,3056.746404
143.2064128,3062.182231
143.5671343,3067.618057
143.9278557,3073.053884
144.2885772,3078.48971
144.6492986,3083.925536
145.01002,3089.361363
145.3707415,3094.797189
145.7314629,3100.233016
146.0921844,3105.668842
146.4529058,3111.104669
146.8136273,3116.540495
147.1743487,3121.976322
147.5350701,3127.412148
147.8957916,3132.847974
148.256513,3138.283801
148.6172345,3143.719627
148.9779559,3149.155454
149.3386774,3154.59128
149.6993988,3160.027107
150.0601202,3165.462933
150.4208417,3170.89876
150.7815631,3176.334586
151.1422846,3181.770412
151.503006,3187.206239
151.8637275,3192.642065
152.2244489,3198.077892
152.5851703,3203.513718
152.9458918,3208.949545
153.3066132,3214.385371
153.6673347,3219.821198
154.0280561,3225.257024
154.3887776,3230.69285
154.749499,3236.128677
155.1102204,3241.564503
155.4709419,3247.00033
155.8316633,3252.436156
156.1923848,3257.871983
156.5531062,3263.307809
156.9138277,3268.743636
157.2745491,3274.179462
157.6352705,3279.615288
157.995992,3285.051115
158.3567134,3290.486941
158.7174349,3295.922768
159.0781563,3301.358594
159.4388778,3306.794421
159.7995992,3312.230247
160.1603206,3317.666074
160.5210421,3323.1019
160.8817635,3328.537726
161.242485,3333.973553
161.6032064,3339.409379
161.9639279,3344.845206
162.3246493,3350.281032
162.6853707,3355.716859
163.0460922,3361.152685
163.4068136,3366.588512
163.7675351,3372.024338
164.1282565,3377.460164
164.488978,3382.895991
164.8496994,3388.331817
165.2104208,3393.767644
165.5711423,3399.20347
165.9318637,3404.639297
166.2925852,3410.075123
166.6533066,3415.51095
167.0140281,3420.946776
167.3747495,3426.382602
167.7354709,3431.818429
168.0961924,3437.254255
168.4569138,3442.690082
168.8176353,3448.125908
169.1783567,3453.561735
169.5390782,3458.997561
169.8997996,3464.433388
170.260521,3469.869214
170.6212425,3475.30504
170.9819639,3480.740867
171.3426854,3486.176693
171.7034068,3491.61252
172.0641283,3497.048346
172.4248497,3502.484173
172.7855711,3507.919999
173.1462926,3513.355826
173.507014,3518.791652
173.8677355,3524.227478
174.2284569,3529.663305
174.5891784,3535.099131
174.9498998,3540.534958
175.3106212,3545.970784
175.6713427,3551.406611
176.0320641,3556.842437
176.3927856,3562.278264
176.753507,3567.71409
177.1142285,3573.149916
177.4749499,3578.585743
177.8356713,3584.021569
178.1963928,3589.457396
178.5571142,3594.893222
178.9178357,3600.329049
179.2785571,3605.764875
179.6392786,3611.200702
180,3616.636528
