load_torque_Nm,current_A,speed_RPM,effective_voltage_V,mechanical_power_W,electrical_power_W,efficiency_percent,current_limited
0.00118,0.2908077155,3615.213984,24,0.4467295013,6.979385172,6.400699923,0
0.00119,0.290973478,3615.201929,24,0.4505138422,6.983363472,6.451244362,0
0.0012,0.2911392405,3615.189873,24,0.4542981579,6.987341772,6.501730883,0
0.00121,0.291305003,3615.177818,24,0.4580824483,6.991320072,6.552159586,0
0.00122,0.2914707655,3615.165763,24,0.4618667135,6.995298373,6.60253057,0
0.00123,0.291636528,3615.153707,24,0.4656509534,6.999276673,6.652843932,0
0.00124,0.2918022905,3615.141652,24,0.4694351681,7.003254973,6.703099772,0
0.00125,0.291968053,3615.129596,24,0.4732193575,7.007233273,6.753298186,0
0.00126,0.2921338156,3615.117541,24,0.4770035217,7.011211573,6.803439274,0
0.00127,0.2922995781,3615.105485,24,0.4807876607,7.015189873,6.853523131,0
0.00128,0.2924653406,3615.09343,24,0.4845717743,7.019168174,6.903549856,0
0.00129,0.2926311031,3615.081374,24,0.4883558628,7.023146474,6.953519546,0
0.0013,0.2927968656,3615.069319,24,0.492139926,7.027124774,7.003432297,0
0.00131,0.2929626281,3615.057263,24,0.4959239639,7.031103074,7.053288206,0
0.00132,0.2931283906,3615.045208,24,0.4997079766,7.035081374,7.10308737,0
0.00133,0.2932941531,3615.033153,24,0.503491964,7.039059675,7.152829885,0
0.00134,0.2934599156,3615.021097,24,0.5072759262,7.043037975,7.202515847,0
0.00135,0.2936256781,3615.009042,24,0.5110598631,7.047016275,7.252145351,0
0.00136,0.2937914406,3614.996986,24,0.5148437748,7.050994575,7.301718493,0
0.00137,0.2939572031,3614.984931,24,0.5186276613,7.054972875,7.351235369,0
0.00138,0.2941229656,3614.972875,24,0.5224115225,7.058951175,7.400696074,0
0.00139,0.2942887281,3614.96082,24,0.5261953584,7.062929476,7.450100702,0
0.0014,0.2944544907,3614.948764,24,0.5299791691,7.066907776,7.499449348,0
