load_torque_Nm;mechanical_power_W
0.00501;1.894285043
0.00502;1.898059714
0.00503;1.901834359
0.00504;1.905608979
0.00505;1.909383574
0.00506;1.913158143
0.00507;1.916932688
0.00508;1.920707207
0.00509;1.924481701
0.0051;1.928256169
0.00511;1.932030613
0.00512;1.935805031
0.00513;1.939579424
0.00514;1.943353791
0.00515;1.947128134
0.00516;1.950902451
0.00517;1.954676743
0.00518;1.958451009
0.00519;1.962225251
0.0052;1.965999467
0.00521;1.969773658
0.00522;1.973547823
0.00523;1.977321964
0.00524;1.981096079
0.00525;1.984870169
0.00526;1.988644233
0.00527;1.992418273
0.00528;1.996192287
0.00529;1.999966276
0.0053;2.003740239
0.00531;2.007514178
0.00532;2.011288091
0.00533;2.015061979
0.00534;2.018835841
0.00535;2.022609679
0.00536;2.026383491
0.00537;2.030157278
0.00538;2.033931039
0.00539;2.037704776
0.0054;2.041478487
0.00541;2.045252173
0.00542;2.049025833
0.00543;2.052799469
0.00544;2.056573079
0.00545;2.060346664
0.00546;2.064120224
0.00547;2.067893758
0.00548;2.071667267
0.00549;2.075440751
0.0055;2.07921421
0.00551;2.082987643
0.00552;2.086761051
0.00553;2.090534434
0.00554;2.094307792
0.00555;2.098081124
0.00556;2.101854431
0.00557;2.105627713
0.00558;2.10940097
0.00559;2.113174201
0.0056;2.116947407
0.00561;2.120720588
0.00562;2.124493744
0.00563;2.128266874
0.00564;2.13203998
0.00565;2.13581306
0.00566;2.139586114
0.00567;2.143359144
0.00568;2.147132148
0.00569;2.150905127
0.0057;2.15467808
0.00571;2.158451009
0.00572;2.162223912
0.00573;2.16599679
0.00574;2.169769643
0.00575;2.17354247
0.00576;2.177315272
0.00577;2.181088049
0.00578;2.184860801
0.00579;2.188633527
0.0058;2.192406228
0.00581;2.196178904
0.00582;2.199951555
0.00583;2.203724181
0.00584;2.207496781
0.00585;2.211269356
0.00586;2.215041905
0.00587;2.21881443
0.00588;2.222586929
0.00589;2.226359403
0.0059;2.230131852
0.00591;2.233904275
0.00592;2.237676673
0.00593;2.241449046
0.00594;2.245221394
0.00595;2.248993716
0.00596;2.252766014
0.00597;2.256538286
0.00598;2.260310532
0.00599;2.264082754
0.006;2.26785495
0.00601;2.271627121
0.00602;2.275399267
0.00603;2.279171387
0.00604;2.282943482
0.00605;2.286715552
0.00606;2.290487597
0.00607;2.294259616
0.00608;2.298031611
0.00609;2.30180358
0.0061;2.305575523
0.00611;2.309347442
0.00612;2.313119335
0.00613;2.316891203
0.00614;2.320663046
0.00615;2.324434863
0.00616;2.328206655
0.00617;2.331978422
0.00618;2.335750164
0.00619;2.339521881
0.0062;2.343293572
0.00621;2.347065238
0.00622;2.350836879
0.00623;2.354608494
0.00624;2.358380084
0.00625;2.362151649
0.00626;2.365923189
0.00627;2.369694703
0.00628;2.373466193
0.00629;2.377237657
0.0063;2.381009095
0.00631;2.384780509
0.00632;2.388551897
0.00633;2.39232326
0.00634;2.396094598
0.00635;2.39986591
0.00636;2.403637198
0.00637;2.40740846
0.00638;2.411179696
0.00639;2.414950908
0.0064;2.418722094
0.00641;2.422493255
0.00642;2.426264391
0.00643;2.430035501
0.00644;2.433806587
0.00645;2.437577647
0.00646;2.441348681
0.00647;2.445119691
0.00648;2.448890675
0.00649;2.452661634
0.0065;2.456432568
0.00651;2.460203477
0.00652;2.46397436
0.00653;2.467745218
0.00654;2.471516051
0.00655;2.475286858
0.00656;2.47905764
0.00657;2.482828397
0.00658;2.486599129
0.00659;2.490369836
0.0066;2.494140517
0.00661;2.497911173
0.00662;2.501681804
0.00663;2.505452409
0.00664;2.50922299
0.00665;2.512993545
0.00666;2.516764074
0.00667;2.520534579
0.00668;2.524305058
0.00669;2.528075512
0.0067;2.531845941
0.00671;2.535616345
0.00672;2.539386723
0.00673;2.543157076
0.00674;2.546927404
0.00675;2.550697706
0.00676;2.554467984
0.00677;2.558238236
0.00678;2.562008462
0.00679;2.565778664
0.0068;2.56954884
0.00681;2.573318991
0.00682;2.577089117
0.00683;2.580859218
0.00684;2.584629293
0.00685;2.588399343
0.00686;2.592169368
0.00687;2.595939367
0.00688;2.599709342
0.00689;2.603479291
0.0069;2.607249215
0.00691;2.611019113
0.00692;2.614788986
0.00693;2.618558834
0.00694;2.622328657
0.00695;2.626098455
0.00696;2.629868227
0.00697;2.633637974
0.00698;2.637407696
0.00699;2.641177393
0.007;2.644947064
0.00701;2.64871671
0.00702;2.652486331
0.00703;2.656255926
0.00704;2.660025497
0.00705;2.663795042
0.00706;2.667564562
0.00707;2.671334056
0.00708;2.675103526
0.00709;2.67887297
0.0071;2.682642388
0.00711;2.686411782
0.00712;2.69018115
0.00713;2.693950493
0.00714;2.697719811
0.00715;2.701489104
0.00716;2.705258371
0.00717;2.709027613
0.00718;2.71279683
0.00719;2.716566022
0.0072;2.720335188
0.00721;2.724104329
0.00722;2.727873445
0.00723;2.731642536
0.00724;2.735411601
0.00725;2.739180641
0.00726;2.742949656
0.00727;2.746718645
0.00728;2.75048761
0.00729;2.754256549
0.0073;2.758025463
0.00731;2.761794351
0.00732;2.765563215
0.00733;2.769332053
0.00734;2.773100866
0.00735;2.776869653
0.00736;2.780638416
0.00737;2.784407153
0.00738;2.788175865
0.00739;2.791944551
0.0074;2.795713213
0.00741;2.799481849
0.00742;2.80325046
0.00743;2.807019045
0.00744;2.810787606
0.00745;2.814556141
0.00746;2.818324651
0.00747;2.822093135
0.00748;2.825861595
0.00749;2.829630029
0.0075;2.833398438
0.00751;2.837166821
0.00752;2.84093518
0.00753;2.844703513
0.00754;2.848471821
0.00755;2.852240103
0.00756;2.856008361
0.00757;2.859776593
0.00758;2.8635448
0.00759;2.867312981
0.0076;2.871081138
0.00761;2.874849269
0.00762;2.878617375
0.00763;2.882385455
0.00764;2.886153511
0.00765;2.889921541
0.00766;2.893689546
0.00767;2.897457525
0.00768;2.90122548
0.00769;2.904993409
0.0077;2.908761313
0.00771;2.912529191
0.00772;2.916297045
0.00773;2.920064873
0.00774;2.923832676
0.00775;2.927600454
0.00776;2.931368206
0.00777;2.935135933
0.00778;2.938903635
0.00779;2.942671312
0.0078;2.946438963
0.00781;2.950206589
0.00782;2.95397419
0.00783;2.957741766
