load_torque_Nm;current_A
0.0041;0.3392103677
0.00411;0.3393761302
0.00412;0.3395418927
0.00413;0.3397076552
0.00414;0.3398734177
0.00415;0.3400391802
0.00416;0.3402049427
0.00417;0.3403707052
0.00418;0.3405364678
0.00419;0.3407022303
0.0042;0.3408679928
0.00421;0.3410337553
0.00422;0.3411995178
0.00423;0.3413652803
0.00424;0.3415310428
0.00425;0.3416968053
0.00426;0.3418625678
0.00427;0.3420283303
0.00428;0.3421940928
0.00429;0.3423598553
0.0043;0.3425256178
0.00431;0.3426913803
0.00432;0.3428571429
0.00433;0.3430229054
0.00434;0.3431886679
0.00435;0.3433544304
0.00436;0.3435201929
0.00437;0.3436859554
0.00438;0.3438517179
0.00439;0.3440174804
0.0044;0.3441832429
0.00441;0.3443490054
0.00442;0.3445147679
0.00443;0.3446805304
0.00444;0.3448462929
0.00445;0.3450120555
0.00446;0.345177818
0.00447;0.3453435805
0.00448;0.345509343
0.00449;0.3456751055
0.0045;0.345840868
0.00451;0.3460066305
0.00452;0.346172393
0.00453;0.3463381555
0.00454;0.346503918
0.00455;0.3466696805
0.00456;0.346835443
0.00457;0.3470012055
0.00458;0.3471669681
0.00459;0.3473327306
0.0046;0.3474984931
0.00461;0.3476642556
0.00462;0.3478300181
0.00463;0.3479957806
0.00464;0.3481615431
0.00465;0.3483273056
0.00466;0.3484930681
0.00467;0.3486588306
0.00468;0.3488245931
0.00469;0.3489903556
0.0047;0.3491561181
0.00471;0.3493218807
0.00472;0.3494876432
0.00473;0.3496534057
0.00474;0.3498191682
0.00475;0.3499849307
0.00476;0.3501506932
0.00477;0.3503164557
0.00478;0.3504822182
0.00479;0.3506479807
0.0048;0.3508137432
0.00481;0.3509795057
0.00482;0.3511452682
0.00483;0.3513110307
0.00484;0.3514767932
0.00485;0.3516425558
0.00486;0.3518083183
0.00487;0.3519740808
0.00488;0.3521398433
0.00489;0.3523056058
0.0049;0.3524713683
0.00491;0.3526371308
0.00492;0.3528028933
0.00493;0.3529686558
0.00494;0.3531344183
0.00495;0.3533001808
0.00496;0.3534659433
0.00497;0.3536317058
0.00498;0.3537974684
0.00499;0.3539632309
0.005;0.3541289934
0.00501;0.3542947559
0.00502;0.3544605184
0.00503;0.3546262809
0.00504;0.3547920434
0.00505;0.3549578059
0.00506;0.3551235684
0.00507;0.3552893309
0.00508;0.3554550934
0.00509;0.3556208559
0.0051;0.3557866184
0.00511;0.355952381
0.00512;0.3561181435
0.00513;0.356283906
0.00514;0.3564496685
0.00515;0.356615431
0.00516;0.3567811935
0.00517;0.356946956
0.00518;0.3571127185
0.00519;0.357278481
0.0052;0.3574442435
0.00521;0.357610006
0.00522;0.3577757685
0.00523;0.357941531
0.00524;0.3581072936
0.00525;0.3582730561
0.00526;0.3584388186
0.00527;0.3586045811
0.00528;0.3587703436
0.00529;0.3589361061
0.0053;0.3591018686
0.00531;0.3592676311
0.00532;0.3594333936
0.00533;0.3595991561
0.00534;0.3597649186
0.00535;0.3599306811
0.00536;0.3600964436
0.00537;0.3602622061
0.00538;0.3604279687
0.00539;0.3605937312
0.0054;0.3607594937
0.00541;0.3609252562
0.00542;0.3610910187
0.00543;0.3612567812
0.00544;0.3614225437
0.00545;0.3615883062
0.00546;0.3617540687
0.00547;0.3619198312
0.00548;0.3620855937
0.00549;0.3622513562
0.0055;0.3624171187
0.00551;0.3625828813
0.00552;0.3627486438
0.00553;0.3629144063
0.00554;0.3630801688
0.00555;0.3632459313
0.00556;0.3634116938
0.00557;0.3635774563
0.00558;0.3637432188
0.00559;0.3639089813
0.0056;0.3640747438
0.00561;0.3642405063
0.00562;0.3644062688
0.00563;0.3645720313
0.00564;0.3647377939
0.00565;0.3649035564
0.00566;0.3650693189
0.00567;0.3652350814
0.00568;0.3654008439
0.00569;0.3655666064
0.0057;0.3657323689
0.00571;0.3658981314
0.00572;0.3660638939
0.00573;0.3662296564
0.00574;0.3663954189
0.00575;0.3665611814
0.00576;0.3667269439
0.00577;0.3668927064
0.00578;0.367058469
