load_torque_Nm;speed_RPM
0.00624;3609.113924
0.00625;3609.101869
0.00626;3609.089813
0.00627;3609.077758
0.00628;3609.065702
0.00629;3609.053647
0.0063;3609.041591
0.00631;3609.029536
0.00632;3609.01748
0.00633;3609.005425
0.00634;3608.993369
0.00635;3608.981314
0.00636;3608.969259
0.00637;3608.957203
0.00638;3608.945148
0.00639;3608.933092
0.0064;3608.921037
0.00641;3608.908981
0.00642;3608.896926
0.00643;3608.88487
0.00644;3608.872815
0.00645;3608.860759
0.00646;3608.848704
0.00647;3608.836649
0.00648;3608.824593
0.00649;3608.812538
0.0065;3608.800482
0.00651;3608.788427
0.00652;3608.776371
0.00653;3608.764316
0.00654;3608.75226
0.00655;3608.740205
0.00656;3608.728149
0.00657;3608.716094
0.00658;3608.704039
0.00659;3608.691983
0.0066;3608.679928
0.00661;3608.667872
0.00662;3608.655817
0.00663;3608.643761
0.00664;3608.631706
0.00665;3608.61965
0.00666;3608.607595
0.00667;3608.595539
0.00668;3608.583484
0.00669;3608.571429
0.0067;3608.559373
0.00671;3608.547318
0.00672;3608.535262
0.00673;3608.523207
0.00674;3608.511151
0.00675;3608.499096
0.00676;3608.48704
0.00677;3608.474985
0.00678;3608.462929
0.00679;3608.450874
0.0068;3608.438819
0.00681;3608.426763
0.00682;3608.414708
0.00683;3608.402652
0.00684;3608.390597
0.00685;3608.378541
0.00686;3608.366486
0.00687;3608.35443
0.00688;3608.342375
0.00689;3608.330319
0.0069;3608.318264
0.00691;3608.306209
0.00692;3608.294153
0.00693;3608.282098
0.00694;3608.270042
0.00695;3608.257987
0.00696;3608.245931
0.00697;3608.233876
0.00698;3608.22182
0.00699;3608.209765
0.007;3608.197709
0.00701;3608.185654
0.00702;3608.173599
0.00703;3608.161543
0.00704;3608.149488
0.00705;3608.137432
0.00706;3608.125377
0.00707;3608.113321
0.00708;3608.101266
0.00709;3608.08921
0.0071;3608.077155
0.00711;3608.065099
0.00712;3608.053044
0.00713;3608.040989
0.00714;3608.028933
0.00715;3608.016878
0.00716;3608.004822
0.00717;3607.992767
0.00718;3607.980711
0.00719;3607.968656
0.0072;3607.9566
0.00721;3607.944545
0.00722;3607.932489
0.00723;3607.920434
0.00724;3607.908379
0.00725;3607.896323
0.00726;3607.884268
0.00727;3607.872212
0.00728;3607.860157
0.00729;3607.848101
0.0073;3607.836046
0.00731;3607.82399
0.00732;3607.811935
0.00733;3607.799879
0.00734;3607.787824
0.00735;3607.775769
0.00736;3607.763713
0.00737;3607.751658
0.00738;3607.739602
0.00739;3607.727547
0.0074;3607.715491
0.00741;3607.703436
0.00742;3607.69138
0.00743;3607.679325
0.00744;3607.667269
0.00745;3607.655214
0.00746;3607.643159
0.00747;3607.631103
0.00748;3607.619048
0.00749;3607.606992
0.0075;3607.594937
0.00751;3607.582881
0.00752;3607.570826
0.00753;3607.55877
0.00754;3607.546715
0.00755;3607.534659
0.00756;3607.522604
0.00757;3607.510549
0.00758;3607.498493
0.00759;3607.486438
0.0076;3607.474382
0.00761;3607.462327
0.00762;3607.450271
0.00763;3607.438216
0.00764;3607.42616
0.00765;3607.414105
0.00766;3607.402049
0.00767;3607.389994
0.00768;3607.377939
0.00769;3607.365883
0.0077;3607.353828
0.00771;3607.341772
0.00772;3607.329717
0.00773;3607.317661
0.00774;3607.305606
0.00775;3607.29355
0.00776;3607.281495
0.00777;3607.269439
0.00778;3607.257384
0.00779;3607.245329
0.0078;3607.233273
0.00781;3607.221218
0.00782;3607.209162
0.00783;3607.197107
0.00784;3607.185051
0.00785;3607.172996
0.00786;3607.16094
0.00787;3607.148885
0.00788;3607.136829
0.00789;3607.124774
0.0079;3607.112719
0.00791;3607.100663
0.00792;3607.088608
0.00793;3607.076552
0.00794;3607.064497
0.00795;3607.052441
0.00796;3607.040386
0.00797;3607.02833
0.00798;3607.016275
