load_torque_Nm;efficiency_percent
0.00681;27.91270257
0.00682;27.94153952
0.00683;27.97035134
0.00684;27.99913805
0.00685;28.02789968
0.00686;28.05663627
0.00687;28.08534785
0.00688;28.11403446
0.00689;28.14269611
0.0069;28.17133286
0.00691;28.19994472
0.00692;28.22853173
0.00693;28.25709393
0.00694;28.28563134
0.00695;28.314144
0.00696;28.34263193
0.00697;28.37109518
0.00698;28.39953376
0.00699;28.42794772
0.007;28.45633709
0.00701;28.48470189
0.00702;28.51304216
0.00703;28.54135793
0.00704;28.56964923
0.00705;28.5979161
0.00706;28.62615855
0.00707;28.65437664
0.00708;28.68257037
0.00709;28.7107398
0.0071;28.73888494
0.00711;28.76700584
0.00712;28.79510251
0.00713;28.823175
0.00714;28.85122332
0.00715;28.87924752
0.00716;28.90724763
0.00717;28.93522367
0.00718;28.96317567
0.00719;28.99110367
0.0072;29.0190077
0.00721;29.04688778
0.00722;29.07474395
0.00723;29.10257624
0.00724;29.13038467
0.00725;29.15816929
0.00726;29.18593011
0.00727;29.21366717
0.00728;29.2413805
0.00729;29.26907013
0.0073;29.29673609
0.00731;29.32437841
0.00732;29.35199712
0.00733;29.37959224
0.00734;29.40716382
0.00735;29.43471187
0.00736;29.46223643
0.00737;29.48973753
0.00738;29.5172152
0.00739;29.54466946
0.0074;29.57210036
0.00741;29.5995079
0.00742;29.62689214
0.00743;29.65425309
0.00744;29.68159078
0.00745;29.70890525
0.00746;29.73619652
0.00747;29.76346462
0.00748;29.79070958
0.00749;29.81793144
0.0075;29.84513021
0.00751;29.87230593
0.00752;29.89945863
0.00753;29.92658834
0.00754;29.95369508
0.00755;29.98077888
0.00756;30.00783978
0.00757;30.0348778
0.00758;30.06189297
0.00759;30.08888532
0.0076;30.11585488
0.00761;30.14280167
0.00762;30.16972573
0.00763;30.19662708
0.00764;30.22350575
0.00765;30.25036177
0.00766;30.27719516
0.00767;30.30400597
0.00768;30.33079421
0.00769;30.35755991
0.0077;30.3843031
0.00771;30.41102381
0.00772;30.43772206
0.00773;30.46439789
0.00774;30.49105133
0.00775;30.51768239
0.00776;30.54429111
0.00777;30.57087752
0.00778;30.59744164
0.00779;30.6239835
0.0078;30.65050313
0.00781;30.67700056
0.00782;30.70347581
